título,precio,habitaciones,área,ascensor
"Piso en La Missio - Mercat, Palma de Mallorca",685.000€,4 hab.,176 m²,True
"Ático en Foners, Palma de Mallorca",1.200.000€,3 hab.,280 m²,True
"Ático en Sant Agustí, Palma de Mallorca",1.695.000€,4 hab.,420 m²,True
"Ático en Can Pastilla, Palma de Mallorca",980.000€,2 hab.,103 m²,True
"Casa o chalet independiente en La Seu, Palma de Mallorca",13.500.000€,8 hab.,886 m²,False
"Piso en Marqués de la Fontsanta, Palma de Mallorca",450.000€,3 hab.,110 m²,True
"Piso en Foners, Palma de Mallorca",235.000€,4 hab.,114 m²,True
"Piso en La Soledat, Palma de Mallorca",165.000€,3 hab.,96 m²,True
"Casa o chalet independiente en S'Aranjassa - Es Pil.larí, Palma de Mallorca",1.290.000€,6 hab.,612 m²,False
"Piso en Marqués de la Fontsanta, Palma de Mallorca",360.000€,1 hab.,79 m²,True
"Piso en Plaça de Toros, Palma de Mallorca",369.000€,4 hab.,159 m²,True
"Piso en Son Cladera - Son Fuster, Palma de Mallorca",235.000€,2 hab.,65 m²,True
"Piso en Son Gotleu, Palma de Mallorca",135.000€,4 hab.,125 m²,True
"Casa o chalet independiente en Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",1.390.000€,4 hab.,411 m²,False
"Casa o chalet independiente en El Terreno, Palma de Mallorca",1.690.000€,3 hab.,210 m²,False
"Piso en Sindicat, Palma de Mallorca",350.000€,2 hab.,62 m²,True
"Piso en Son Espanyolet, Palma de Mallorca",499.000€,1 hab.,50 m²,True
"Piso en Can Pastilla, Palma de Mallorca",470.000€,3 hab.,101 m²,True
"Piso en calle Sureda y calle Regal de Palma, s/n, La Soledat, Palma de Mallorca",275.000€,2 hab.,93 m²,True
"Casa o chalet independiente en Son Vida, Palma de Mallorca",4.250.000€,5 hab.,537 m²,False
"Chalet adosado en Secar de la Real, Palma de Mallorca",435.000€,4 hab.,128 m²,False
"Dúplex en Estanc, La Llotja, Palma de Mallorca",875.000€,3 hab.,265 m²,True
"Dúplex en Estanc, La Llotja, Palma de Mallorca",875.000€,3 hab.,265 m²,True
"Piso en Marbella, 20, Les Maravelles, Palma de Mallorca",360.000€,2 hab.,74 m²,True
"Piso en calle Nicolau de Pacs, Pere Garau, Palma de Mallorca",265.000€,3 hab.,88 m²,True
"Ático en calle de la Reina Maria Cristina, Plaça de Toros, Palma de Mallorca",490.000€,3 hab.,110 m²,True
"Piso en calle Llevant, 96, Nou Llevant, Palma de Mallorca",300.000€,2 hab.,97 m²,True
"Chalet en Son Vida, Palma de Mallorca",4.500.000€,4 hab.,600 m²,False
"Piso en calle de Monterrey, Sta Catalina - El Jonquet, Palma de Mallorca",535.000€,3 hab.,100 m²,True
"Piso en calle Llevant, 96, Nou Llevant, Palma de Mallorca",430.000€,3 hab.,125 m²,True
"Piso en calle Llevant, 96, Nou Llevant, Palma de Mallorca",455.000€,3 hab.,137 m²,True
"Dúplex en calle dels Oms, 15, La Missio - Mercat, Palma de Mallorca",1.775.000€,3 hab.,191 m²,True
"Piso en calle de Versalles, La Bonanova - Porto Pi, Palma de Mallorca",1.575.000€,5 hab.,340 m²,True
"Piso en avenida de Gabriel Alomar, Sindicat, Palma de Mallorca",440.000€,4 hab.,147 m²,True
"Piso en Camp d'En Serralta , Palma de Mallorca",750.000€,3 hab.,137 m²,True
"Piso en Sta Catalina - El Jonquet, Palma de Mallorca",554.000€,4 hab.,182 m²,True
"Casa o chalet independiente en Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",1.698.000€,6 hab.,550 m²,False
"Ático en Foners, Palma de Mallorca",499.000€,3 hab.,147 m²,True
"Chalet adosado en calle de Son Pontivic, 15, Foners, Palma de Mallorca",529.000€,4 hab.,388 m²,False
"Chalet adosado en calle del Pensament, 10, Son Dureta, Palma de Mallorca",830.000€,5 hab.,200 m²,False
"Ático en calle de Sant Llorenç, La Llotja, Palma de Mallorca",850.000€,2 hab.,146 m²,True
"Dúplex en La Llotja, Palma de Mallorca",885.000€,3 hab.,265 m²,True
"Piso en Paseo Marítimo, Palma de Mallorca",1.300.000€,6 hab.,205 m²,True
"Ático en calle de l'Arxiduc Lluís Salvador, Plaça de Toros, Palma de Mallorca",315.000€,4 hab.,135 m²,True
"Dúplex en calle de Ramon Servera Moya, El Terreno, Palma de Mallorca",374.990€,3 hab.,147 m²,True
"Casa o chalet independiente en Son Gual, Palma de Mallorca",1.700.000€,5 hab.,241 m²,False
"Dúplex en calle Impremta, 1, Sant Nicolau, Palma de Mallorca",2.300.000€,2 hab.,163 m²,True
"Piso en calle dels Oms, La Missio - Mercat, Palma de Mallorca",570.000€,2 hab.,95 m²,True
"Piso en calle de Margaluz, Sant Agustí, Palma de Mallorca",450.000€,2 hab.,71 m²,True
"Ático en calle de Margaluz, Sant Agustí, Palma de Mallorca",450.000€,2 hab.,72 m²,True
"Casa o chalet independiente en Robert Graves, El Terreno, Palma de Mallorca",1.800.000€,3 hab.,245 m²,False
"Piso en calle dels Pins, 17, Can Pastilla, Palma de Mallorca",470.000€,3 hab.,119 m²,True
"Piso en Monti-Sión, Palma de Mallorca",510.000€,2 hab.,124 m²,True
"Piso en Les Maravelles, Palma de Mallorca",420.000€,3 hab.,113 m²,True
"Piso en La Missio - Mercat, Palma de Mallorca",740.000€,7 hab.,192 m²,True
